title,alt_title,type,description,genre,author,artist,rate,image,released
Retiring As The World’s Strongest Demon,最强魔尊的退休生活从攻略主角开始,Manhua,"Perencana permainan Zou Yu meninggal tibatiba selama bekerja lembur dan melakukan perjalanan ke permainan keabadian yang dirancang sendiri menjadi penjaga iblis yang membunuh keluarga pahlawan wanita Jiang YunboZou Yu yang mengira dia akan mencapai puncak hidupnya dalam satu langkah terpaksa kembali ke titik awal permainan berkalikali karena karakter yang mengancam nyawa Jiang YunboTernyata meskipun dia berharga sebagai iblis dia tetaplah seorang NPC di dalam game tersebutJiang Yunbo sialan ini adalah protagonisnya  Jadi Zou Yu memulai petualangan aneh di mana BOSS penjahat membantu protagonis tumbuh

 Post Views 8","Action, Comedy, Ecchi, Harem",Deer Culture,-,7.0,https://komikcast.cz/wp-content/uploads/2021/03/rad76214172471762-e1615784917604.jpeg?w=225&q=50,?
Lab Mice Game,,Manhwa,"Hannibal sebuah organisasi yang mencoba mengambil alih dunia Pembalasan dendam terhadap organisasi yang melakukan pelecehan dan eksploitasi terhadap Beckham dan rekannya Beckham yang tinggal di desa miskin di Mumbai India harus mencari nafkah untuk keluarganya kebetulan menemukan selembar selebaran yang menyebutkan bahwa mereka mencari anakanak yang memiliki kemampuan spesial organisasi yang menyebarkan selebaran itu adalah organisasi yang dikenal sebagai nursery Hannibal Beckham menunjukkan pada mereka kemampuannya untuk mengendalikan api dan sebagai ganti menerima uang untuk keluarganya dia pergi ke Inggris bersama mereka Saat Beckham tiba di fasilitas itu dia bertemu dengan anakanak dari seluruh dunia yang memiliki kemampuan spesial yang sama sepertinya Namun berbeda dengan yang dipikirkan Beckham bahwa ini adalah cara untuk menghasilkan banyak uang jika dia membantu dalam eksperimen dia melihat anakanak diliputi dengan rasa lelah ketakutan serta pasrah dan tidak lama setelah itu Beckham mengetahui alasannya 

 Post Views 6","Action, Fantasy","Adhesive Kang, Hae Ji",-,7.9,https://komikcast.cz/wp-content/uploads/2021/05/labmice12.jpg?w=225&q=50,2020
Hayaku Shitai Futari,"Let's do it already, はやくしたいふたり",Manga,"Berawal dari satu rute yang selalu dilaluinya saat pulang pergi sekolah Yuuri dan Keiichiro akhirnya saling jatuh cinta
Namun Keiichiro ternyata berasal dari sebuah keluarga terpandang Ayah dan Kakeknya merupakan mantan Perdana Menteri
Aturan keluarganya yang ketat membuat Keiichiro tidak bisa melakukan hal cabul sebelum berusia 18 tahun
Keiichiro yang menjungjung tinggi tradisi dan aturan sementara Yuuri yang hidup dalam kebebasan
Sanggupkah Keiichiro menahan godaan Yuuri Ataukah mereka akan menemukan titik keluar lain dari hubungan mereka
Mari simak kisah komedi romantis mereka bersamasama



 Post Views 8","Comedy, Romance, School Life, Shoujo",Kusaka Aki,-,7.3,https://komikcast.cz/wp-content/uploads/2021/03/53175v2-e1615699686780.jpg?w=225&q=50,2021
The Top Abandoned Young,-,Manhua,"Su Mu Tuan Muda Keempat dari keluarga Su diusir dari keluarga oleh keluarga Su karena kehilangan investasi yang dilakukannya secara kebetulan ia menjadi menantu laki laki yang dibenci dari keluarga chen Statusnya di keluarga chen lebih rendah dari pada seekor anjing di dalam keluarga Bagaimanapun Harimau akan mengaum di hutan dan pegunungan Naga akan membumbung tinggi ke langit Sampai suatu hari dia menjadi seperti Naga dan Harimau itu dan kekayaan dia kembali dalam semalam Orang Orang yang dulu menghinanya berlutut di depannya dan memohon pengampunan mereka yang merendahkannya meyesal

 Post Views 13","Action, Supernatural",Legendary comics,-,7.0,https://komikcast.cz/wp-content/uploads/2021/05/ttay1247121543-e1620005291596.jpg?w=225&q=50,?
Vampire & Cross,"Lianai shi Zijia, 恋爱十字架",Manhua,"Akankah hubungan romantis antar ras berhasil  Bukankah vampir yang membunuh orang tuaku  Aku mulai memikirkan hal ini saat bertemu dengan vampir berambut putih yang tidak berbahaya Dia tampak berbeda Dia bisa membunuhku di awal tapi dia tidak melakukan apaapa selain membantuku keluar dari masalah  Sebaliknya mengapa orang yang paling aku percayai menasihatiku berulang kali untuk tidak melibatkan diri dalam tugas pemburu vampir lagi Aku tahu ada sesuatu yang tersembunyi dariku tetapi apa yang harus aku lakukan untuk menemukannya

 Post Views 13","Action, Drama, Fantasy, Romance, Vampire","Ting Zai (停载) (Artist), Pikapi (噼咔噼) (Author)",-,7.0,https://komikcast.cz/wp-content/uploads/2021/01/vc2154312312-e1610091776467.jpg?w=225&q=50,2017
The Female Teacher Who Fight Back,Nixi Zhi Wu Liang Nü Jiaoshi,Manhua,"Hitam dan putih adalah dua sisi Blood Raksha menjadi guru The Holy Day College dan ditugaskan untuk tugas berat Di kelas seorang siswa yang membolos tersenyum dan bertanya Guru hal apa yang paling menyakitkan dalam hidup Seorang wanita menghalangi pintu yang dengan malas menjawab Hal yang paling menyakitkan dalam hidup adalah aku datang dan kamu tidak lulus

















 Post Views 6","Mystery, School Life",Tu Shanjun,-,7.0,https://komikcast.cz/wp-content/uploads/2021/05/tft1265425412368766-e1620010503864.jpg?w=225&q=50,2019
Her True Self Is Revealed After Taking Off Her Miko Attire…,,Manga,"Sisi lain dari teman kelas yang keren bagi si cowok

 Post Views 5","Comedy, One-Shot, Romance",,-,7.0,https://komikcast.cz/wp-content/uploads/2021/05/hts16236417263761-e1620043742404.jpg?w=225&q=50,?
The Girl with a Kansai Accent and the Pure Boy,"Kansai-ben Onee-san to Junshin Shounen, The Girl with Kansai-accent and the Pure Boy, 関西弁お姉さんと純真少年",Manga,"Seorang anak lakilaki bernama Tsuki pindah ke kota Osaka dari Tokyo karena keputusan yang dibuat oleh kedua orang tuanya dan Tsuki pun diurus oleh teman ibunya yang memiliki aksen Kansai yang kental







 Post Views 7","Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",Bakuya,-,7.74,https://komikcast.cz/wp-content/uploads/2020/10/46433v1.jpg?w=225&q=50,2020
Collecting the Divine,神藏,Manhua,"Seorang Daois modern Fang Yi terbangun suatu hari dengan kekuatan super  kemampuan untuk merasakan barang antik dan artefak Dari sana ia menjadi seorang ahli pengumpul artefak Harta yang tak terhitung jumlahnya menjadi miliknya dan ia memimpin kelompok saudarasaudaranya dalam perjalanan menuju puncak kehidupan







 Post Views 17","Action, Historical, Shounen, Super Power",Yuèwén Mànhuà (阅文漫画),-,7.21,https://komikcast.cz/wp-content/uploads/2020/01/slafkalskr32fasdf.jpg?w=225&q=50,2019
Return of the Reborn God Emperor,,Manhua,"diperbarui setiap jumat dan minggul lin xiao di kehidupan sebelumnya secara tidak sengaja memperoleh teknik penghakiman llahi membangunkan tubuh leluhur kuno tubuh tuan yang tak tertandingi setelah segala macam kesulitan dia akhirnya menjadi raksasa menaklukkan para dewa dan iblis namun pada saat terobosan rahasianya dibocorkan oleh seorang pengkhianat dan kaisar abadi sembilan surga bersamasama mengepungnya setelah pertempuran dia dilahirkan kembali dalam kehidupan ini dari awal pemurnian tubuh dia akan menyapu segalanya selangkah demi selangkah naik kembali selama sembilan hari nine heavens immortal emperor tunggu untuk gemetar

 Post Views 18","Action, Adventure, Romance",Anime Daxingdao,-,7.58,https://komikcast.cz/wp-content/uploads/2020/10/returnoffsd.jpg?w=225&q=50,2020
Regnal Trigger,레그널 트리거,Manhwa,"Di kerajaan Trebian hiduplah kakak beradik Aren dan Toa yang bekerja sebagai budak di tambang selama 10 tahun mimpi mereka adalah bisa kabur dari tambang tersebut tapi sayang kematian adiknya membuatnya frustasi dan ketika berniat mengakhiri hidupnya ada seorang yang ingin membuat kontrak dengannya apakah itu

 Post Views 8","Action, Drama",Kal,-,7.8,https://komikcast.cz/wp-content/uploads/2019/06/232regnaaltrigger.jpg?w=225&q=50,2019
Tsurezure Children,徒然チルドレン,Manga,"Cerita pendek manga dari seorang lakilaki yang tak menyangka gadis yang ia impikan sebenarnya mengajak dia berkencan menjadi seorang psyco yang membuat coklat dengan darahnya sendiri dengan tujuan membuatnya jatuh cinta
 

 Post Views 7","Comedy, Romance, School, Shounen","Wakabayashi, Toshiya (Story & Art)",-,8.22,https://komikcast.cz/wp-content/uploads/2017/05/155605.jpg?w=225&q=50,"Jan 10, 2012"
Kaichou wa Maid-sama! Marriage,"Young Lady at the Snow Fallen Village!, Yukiochimura ni Ojousama!, ユキ堕ち村にお嬢様！, 会長はメイド様！マリアージュ",Manga,"A collection of Kaichou wa Maidsama specials
Chapter 2 Yukiochimura ni Ojousama Young Lady at the SnowFallen Village
Kaichou wa Maidsama x Yuki wa Jigoku ni Ochiru no ka special crossover oneshot

 Post Views 9","Comedy, Drama, Romance, Shoujo",FUJIWARA Hiro,-,7.0,https://komikcast.cz/wp-content/uploads/2021/03/kwmsm1625617627412-e1616835097597.jpg?w=225&q=50,2013
Fly Me To The Moon (Tonikaku Kawaii II),Tonikaku Kawaii,Manga,"Nama depan Yuzaki Nasa memiliki kanji untuk Starry Night tetapi diucapkan sebagai Nasa Dia mencoba menjadi sangat cocok untuk namanya yang aneh dengan selalu mengincar posisi teratas Tapi suatu malam bersalju dia lengah dan tertabrak mobil saat mengejar seorang gadis cantik Gadis itu Tsukasa Tsukuyomi menyelamatkannya dan NASA menggunakan saat itu untuk mengaku kepada orang asing yang misterius dan imut ini Tsukasa setuju untuk pergi dengannya  tetapi hanya jika mereka menikah Maju cepat beberapa tahun dan NASA membuka pintunya untuk melihat Tsukasa yang memanggilnya suaminya Maka dimulailah kehidupan pernikahan mereka yang aneh




 Post Views 13","Comedy, Romance, Seinen, Slice of Life",Kenjirou Hata,-,7.3,https://komikcast.cz/wp-content/uploads/2021/03/9xNM5Sg-e1617169310600.jpg?w=225&q=50,2021
"Umarekawatte mo mata, Watashi to Kekkon shite kuremasu ka?","Will you marry me again if you are reborn?, 生まれ変わってもまた、私と結婚してくれますか",Manga,"Toranosuke jatuh cinta pada pelayannya Kaoru Selama 20 tahun mereka dengan perlahan mulai mencintai satu sama lain dan lalu pasangan suami yang ceroboh dan istri yang kuat terlahir Mereka menghabiskan banyak waktu bersamasama dan mereka mulai bernostalgia di kamar Rumah Sakit Toranosuke Kenangan hangat dari suami istri yang sangat saling cinta

 Post Views 8","Comedy, Drama, Josei, Romance",MORINAGA Miku,-,8.2,https://komikcast.cz/wp-content/uploads/2019/06/36742akfjhairq1kgnqa.jpg?w=225&q=50,2018
Neko to Kiss,"Cat and a Kiss, Neko-Kiss, القط والقبلة, 猫とキス, 貓和親吻",Manga,"Dari Ikemen Manga
Sebuah komedi romantis yang menyenangkan seputar Wada Erina seorang gadis SMA yang sangat menyukai kucing dan teman sekelasnya Nekoyama Akira yang tidak ramah dan selalu memakai topeng Erina biasanya dijuluki Ratu oleh temanteman sekelasnya karena penampilannya yang keren tapi ketika dia berbicara tentang kucing dia menjadi sangat bersemangat
Suatu hari seekor kucing mengunjungi halaman rumahnya Terpikat oleh kelucuannya dia menjadi bersemangat dan mencium kucing itu lalu 

 Post Views 5","Comedy, Romance, Shoujo, Supernatural",SENRI Miko,-,7.0,https://komikcast.cz/wp-content/uploads/2021/04/ntk1236712541234-e1619777453941.jpg?w=225&q=50,2020
Legend Of Emperor Star,-,Manhua,"Fei Li Pe li adalah seorang remaja perkotaan yang kehilangan orang tuanya setelah kecelakaan mobil yang aneh Sementara itu dia dibawa ke dunia misterius tentang Emperor Star oleh seekor anjing hitam yang bisa berbicara Di dunia ini yang bukan tempat yang bersahabat dia menghadapi tantangan pendaki buku rahasia manusia dan sebagainya Perjalanannya yang penuh dengan fantasi Oriental sedang berlangsung


 Post Views 7","Adventure, Comedy, Ecchi, Fantasy, Martial Arts, Mystery, Psychological, Sci-Fi, Shounen",Cat Comics,-,7.3,https://komikcast.cz/wp-content/uploads/2021/04/a5945e4f-697e-4fe9-a442-cadd848e485f.jpg?w=225&q=50,2021
Yuukoku no Moriarty,"Moriarty the Patriot, 憂国のモリアーティ",Manga,"Pada akhir abad ke19 Kerajaan Inggris telah menjadi kekuatan global Karena stratifikasi kelas yang ketat ratarata warga negara memiliki sedikit peluang untuk berhasil naik ke puncak di mana bangsawan tercela menguasai mereka semua
William James Moriarty putra kedua dari keluarga Moriarty adalah seorang profesor matematika muda yang telah menunjukkan kelicikan dan kecerdasan yang luar biasa sejak dia masih kecil Bersama dengan saudara lakilakinya Albert dan Louis dia menjalani kehidupan sederhana seorang bangsawan Di luar sekolah William adalah konsultan swasta terkenal yang bersedia menyelesaikan masalah siapa pun yang membutuhkan Namun sikapnya yang lembut memungkiri posisinya sebagai ketua kelompok yang siap mendatangkan malapetaka demi mengejar keinginannya  dunia baru yang dibangun dari abu yang lama
Yuukoku no Moriarty memberikan sentuhan baru pada karya asli Arthur Conan Doyle dengan menyoroti tokoh antagonis utamanya dan menjelajahi bagaimana dia menjadi konsultan kriminal pertama dan satusatunya

 Post Views 7","Drama, Historical, Mystery, Police, Psychological, Shounen","Takeuchi Ryousuke, Miyoshi Hikaru",-,7.2,https://komikcast.cz/wp-content/uploads/2021/02/21338v6-e1612572649735.jpg?w=225&q=50,2016
Ember Cocoon Ming Chen,,Manhua,"Kehidupan Ji Yudie sebelumnya dikhianati oleh temantemannya dan ditinggalkan oleh kekasihnya keluarganya hancur berantakan dan dia terlahir kembali di jalan Dia menjadi wanita yang kuat di zaman modern karena dia menjadi tuan dari satu pesta Ketika dia bangun dia telah kembali ke zaman kuno 






 Post Views 5",Action,,-,7.0,https://komikcast.cz/wp-content/uploads/2021/04/cc5172412523-e1619256944351.jpg?w=225&q=50,?
The Long Ballad,长歌行; 長歌行,Manhua,"Chang An dalam priode Dinasti Tang Tiongkok 618907
Seorang gadis iblis sedang melewan langit bencana akan menimpa Dinasti Tang karena seorang wanita gadis itu terampil dalam seni bela diri dan taktik perangdia adalah Putri Li Cheng Ge yang bertekad untuk membalaskan dendam keluarganya dan merebut kembali tahta


 Post Views 5","Action, Adventure, Drama, Fantasy, Historical, Martial Arts, Romance",Xia Da,-,7.3,https://komikcast.cz/wp-content/uploads/2021/04/kkadjwk-e1619665069552.jpg?w=225&q=50,2021
Kaichou Wa Maid Sama,"Maid-sama!, My Sweet Kaichou, President is a Maid!, The Student Council President is a Maid!",Manga,"Ayuzawa Misaki adalah seorang Ketua OSIS di SMA Seika Dia adalah ketua OSIS perempuan pertama karena Seika itu awalnya adalah sekolah khusus lakilaki namun sekarang dibuka untuk perempuan Misaki masuk ke sekolah itu karna biayanya yg murah di sekolah dia dikenal sebagai ketua iblis karena dia sangat taat pada peraturan  membela kaum perempuan Tapi ternyata setelah pulang sekolah dia punya kerja sambilan dan kerjanya adalah sebagai seorang maid pelayan Celakanya pekerjaannya ketahuan oleh Usui Takumi cowok populer di sekolah

 

 Post Views 10","Comedy, Romance, School, Shoujo",Fujiwara Hiro,-,8.01,https://komikcast.cz/wp-content/uploads/2020/12/1efee938a15d5ef0d67eb2d23765c029-e1608711508471.jpg?w=225&q=50,2005
Shopping Agent in Heaven,天界代购店,Manhua,"Dia berjuang keras untuk membayar utangnya namun secara kebetulan dia menemukan saluran rahasia yang menghubungkan dunia fana dan dunia abadi Ini adalah peluang bisnis yang sangat besar karena dia akan menjadi agen belanja pertama di antara dua dunia








Kisah seorang pria yang tidak punya uang menjadi kaya dalam semalam
Dia berjuang keras untuk membayar utangnya namun secara kebetulan dia menemukan saluran rahasia yang menghubungkan dunia fana dan dunia abadi Ini adalah peluang bisnis yang sangat besar karena dia akan menjadi agen belanja pertama di antara dua dunia









 Post Views 6","Adventure, Fantasy",Zhiyin Animation,-,7.0,https://komikcast.cz/wp-content/uploads/2021/04/sp125684152854123-e1619603416185.jpg?w=225&q=50,2020
Human Body Cultivation,,Manhua,"Pecundang Run Dong tibatiba menjadi remaja yang tampan Dia membongkar kebenaran mengenai spesies baru Green Men yang menginvasi sekolahnya Walaupun dia bermutasi secara bertahap Tapi keinginannya kuat untuk melindungi keluarga teman dan gadis yang dicintainya

 Post Views 7","Action, Comedy, Ecchi, Sci-Fi",,-,7.0,https://komikcast.cz/wp-content/uploads/2020/06/gudms32ad.jpg?w=225&q=50,2020
The Devil King In Another World,0,Manhwa,"Bercerita tentang Raja Iblis gabut yang datang ke dunia manusia karena disummon oleh seorang siswa yang terbully



 Post Views 6","Comedy, School Life, Shounen",-,-,7.3,https://komikcast.cz/wp-content/uploads/2021/04/images-1-054917-iec24pnz-902549-H9eBBzkl.jpeg?w=225&q=50,2021
Seven Knights: Alkaid,,Manhwa,"Serial komedi ini mengikuti Amnesic Albert Tanese Raja kedua Tanesia yang harus menemukan saintess dan fragmen ketujuh Alkaid untuk mencegah dunia kembali mengalami perang yang membawa bencanaManhwa

 Post Views 8","Action, Adventure, Comedy, Fantasy, Shounen",Ant Studio,-,7.0,https://komikcast.cz/wp-content/uploads/2019/08/432klalkaldi.jpg?w=225&q=50,2019
PANLONG 2,PANLONG 2,Manhwa,"Lebih dari sepuluh tahun setelah akhir dari alur cerita Panlong yang lama Lin Lei mengabdikan dirinya untuk berlatih di Kerajaan Baruch berharap untuk menerobos menjadi dewa tetapi pohon itu ingin menjadi tenang dan angin tidak berhenti Pembangkit tenaga listrik baru kembali dari tanah percobaan legendaris ke Benua Yulan  Apa yang akan mereka bawa







 Post Views 11","Action, Adventure, Fantasy",Man Youyou,-,7.3,https://komikcast.cz/wp-content/uploads/2020/09/panl653563-e1600228978434.jpg?w=225&q=50,"Sep 16, 2020"
Hero of His Own Opinion,,Manhwa,"Hidup ini penuh kejutan yang tidak pernah diharapkan dan aku mengatakan ini setelah hidup sebagai Raja Iblis dan lainlain sebagai manusia biasa Sekarang kehidupan ketiga menungguku  satu di mana aku akan menjadi pahlawan dan berjuang di sisi keadilan di dunia pertama saya Ironis bukan Aku dikenal sebagai bajingan dan psiko tapi sekarang aku harus berjuang untuk masa depan yang baik dan cerah Sebagai mantan Raja Iblis aku punya pendapat sendiri






 Post Views 9","Action, Adventure, Comedy, Fantasy, Isekai",,-,7.0,https://komikcast.cz/wp-content/uploads/2021/04/hohwp17632471231-e1619131489333.jpg?w=225&q=50,2021
Night Bookstore,-,Manhua,"Zhou adalah dokter senior dari rumah sakit kota ketika dia dalam perjalanan untuk ke panti asuhan mobilnya di tabrak oleh truk saat dia di bawa ke rumah sakit dia masih memiliki kesadaran dokter dan perawat bilang dia sudah mati zhou berusaha untuk teriak tapi tidak bisa sampai akhirnya di bawa ke ruang pembakaran kemudian benarbenar mati ketika membuka matanya dia sampai ke isekai di mana ada banyak cewekcewek cantik v


















 Post Views 14","Action, Comedy, Drama, Fantasy, Horror, Mystery",Chapter Hantai Comics - Webnovel Comics,-,7.0,https://komikcast.cz/wp-content/uploads/2021/01/nb7821531254512312-e1610540947825.jpg?w=225&q=50,?
Yume no Shizuku to Hoshi no Hana,夢の雫と星の花,Manga,"Sang karakter utama Kaede Futami memiliki firasat bahwa teman masa kecilnya Ryo Ichimiya yang dia rasakan akan mengakui cintanya pada hari pertunjukan kembang api yang akan datang dalam dua minggu Namun dia tidak bisa jujur di hadapannya dan berperilaku sembarangan yang membuatnya sulit untuk lebih dekat dengannya Dan jika mimpinya tidak menjadi kenyataan dia akan kehilangan kekuatan prekognitifnya Bisakah dia pergi ke pertunjukan kembang api bersamanya dan menyatakan cintanya seperti yang dia impikan
Berdasarkan novel web yang menginspirasi lagu populer         ano yume wo nazotte oleh YOASOBI

 Post Views 7","Romance, School Life, Shoujo, Supernatural","Ishiki Souta (Author), kanco (Artist)",-,7.0,https://komikcast.cz/wp-content/uploads/2021/01/yns12631872381312-e1611237644751.jpg?w=225&q=50,2020
Yuko Sae Tatakaeba,ゆこさえ戦えば,Manga,"Ketika iblis dan manusia bersekutu dan mempertaruhkan nyawa mereka untuk bertarung akan menjadi seperti cerita yang lain







 Post Views 5","Action, Comedy, Shounen, Slice of Life",FUKUI Sei,-,7.11,https://komikcast.cz/wp-content/uploads/2019/05/yUKO.jpg?w=225&q=50,2019
Devil Down Under,Mandibular Demon,Manhua,"Aku Beelzebub Raja Iblis yang berdiri tegak di atas semua yang lain Tetapi setelah dikhianati oleh bawahanku dan dibunuh aku bereinkarnasi Aku seharusnya dilahirkan kembali sebagai iblis Tapi aku bahkan tidak bisa bicara ababubaba Beelzebub yang maha kuasa sekarang adalah anak manusia 

 Post Views 8","Fantasy, School Life, Slice of Life, Supernatural",Yeon-Jae Choi,-,7.0,https://komikcast.cz/wp-content/uploads/2021/04/ad321312.jpg?w=225&q=50,2020
You Don’t Want Childhood Friend As Your Mom? (Osananajimi no Mama ja Iya?),幼なじみのママじゃイヤ？,Manga,"orang sering berkata
bahwa jatuh cinta adalah hal yang luar biasa
tapi jika seseorang yang kamu cintai adalah ibumu
apa yang akan kamu lakukan
sebuah cerita tentang seorang anak lakilaki yang tidak ingin osananajiminya menjadi ibunya
dan gadis osananajimi yang ingin dia menjadi putranya
sekarang mulai

 Post Views 12","Comedy, Romance, School Life, Slice of Life",Tsumiki Dou,-,7.47,https://komikcast.cz/wp-content/uploads/2019/12/42934v2-e1616177232357.jpg?w=225&q=50,2019
